season,team,round_start,round_end,wins,draws,losses,points,goals_scored,goals_received,position
99/00,Tottenham Hotspur,1999-09-11,1999-09-12,3,1,3,10,9,11
99/00,Leicester City,1999-09-11,1999-09-12,3,1,3,9,8,12
99/00,Southampton FC,1999-09-11,1999-09-12,3,0,4,10,14,13
99/00,Derby County,1999-09-11,1999-09-12,2,2,3,7,9,14
99/00,Watford FC,1999-09-11,1999-09-12,2,0,5,4,8,15
99/00,Wimbledon FC,1999-09-11,1999-09-12,1,3,3,11,16,16
99/00,Bradford City,1999-09-11,1999-09-12,1,3,3,4,9,17
99/00,Coventry City,1999-09-11,1999-09-12,1,2,4,8,10,18
99/00,Newcastle United,1999-09-11,1999-09-12,0,1,6,8,19,19
99/00,Sheffield Wednesday,1999-09-11,1999-09-12,0,1,6,3,15,20
99/00,Manchester United,1999-09-18,1999-09-19,6,2,0,20,7,1
99/00,Chelsea FC,1999-09-18,1999-09-19,5,2,1,11,4,2
99/00,West Ham United,1999-09-18,1999-09-19,5,1,2,11,5,3
99/00,Leeds United,1999-09-18,1999-09-19,5,1,2,14,9,4
99/00,Arsenal FC,1999-09-18,1999-09-19,5,1,2,11,7,5
99/00,Aston Villa,1999-09-18,1999-09-19,5,1,2,10,6,6
99/00,Sunderland AFC,1999-09-18,1999-09-19,4,2,2,13,8,7
99/00,Everton FC,1999-09-18,1999-09-19,4,1,3,14,9,8
99/00,Tottenham Hotspur,1999-09-18,1999-09-19,4,1,3,13,11,9
99/00,Liverpool FC,1999-09-18,1999-09-19,4,1,3,11,9,10
99/00,Middlesbrough FC,1999-09-18,1999-09-19,4,0,4,10,12,11
99/00,Leicester City,1999-09-18,1999-09-19,3,2,3,11,10,12
99/00,Watford FC,1999-09-18,1999-09-19,3,0,5,5,8,13
99/00,Southampton FC,1999-09-18,1999-09-19,3,0,5,10,15,14
99/00,Derby County,1999-09-18,1999-09-19,2,2,4,7,14,15
99/00,Wimbledon FC,1999-09-18,1999-09-19,1,4,3,12,17,16
99/00,Bradford City,1999-09-18,1999-09-19,1,3,4,4,10,17
99/00,Coventry City,1999-09-18,1999-09-19,1,2,5,10,13,18
99/00,Newcastle United,1999-09-18,1999-09-19,1,1,6,16,19,19
99/00,Sheffield Wednesday,1999-09-18,1999-09-19,0,1,7,3,23,20
99/00,Manchester United,1999-09-25,1999-09-27,6,3,0,23,10,1
99/00,Chelsea FC,1999-09-25,1999-09-27,6,2,1,12,4,2
99/00,Leeds United,1999-09-25,1999-09-27,6,1,2,17,11,3
99/00,Arsenal FC,1999-09-25,1999-09-27,6,1,2,12,7,4
99/00,Sunderland AFC,1999-09-25,1999-09-27,5,2,2,14,8,5
99/00,Everton FC,1999-09-25,1999-09-27,5,1,3,15,9,6
99/00,West Ham United,1999-09-25,1999-09-27,5,1,3,11,6,7
99/00,Aston Villa,1999-09-25,1999-09-27,5,1,3,11,9,8
99/00,Leicester City,1999-09-25,1999-09-27,4,2,3,14,11,9
99/00,Tottenham Hotspur,1999-09-25,1999-09-27,4,2,3,14,12,10
99/00,Liverpool FC,1999-09-25,1999-09-27,4,1,4,11,10,11
99/00,Middlesbrough FC,1999-09-25,1999-09-27,4,0,5,10,13,12
99/00,Southampton FC,1999-09-25,1999-09-27,3,1,5,13,18,13
99/00,Watford FC,1999-09-25,1999-09-27,3,0,6,5,9,14
99/00,Bradford City,1999-09-25,1999-09-27,2,3,4,5,10,15
99/00,Coventry City,1999-09-25,1999-09-27,2,2,5,11,13,16
99/00,Wimbledon FC,1999-09-25,1999-09-27,1,5,3,13,18,17
99/00,Derby County,1999-09-25,1999-09-27,2,2,5,7,15,18
99/00,Newcastle United,1999-09-25,1999-09-27,1,1,7,18,22,19
99/00,Sheffield Wednesday,1999-09-25,1999-09-27,0,1,8,3,24,20
99/00,Chelsea FC,1999-10-02,1999-10-04,7,2,1,17,4,1
99/00,Leeds United,1999-10-02,1999-10-04,7,1,2,19,12,2
99/00,Manchester United,1999-10-02,1999-10-04,6,3,1,23,15,3
99/00,Sunderland AFC,1999-10-02,1999-10-04,6,2,2,18,8,4
99/00,West Ham United,1999-10-02,1999-10-04,6,1,3,13,7,5
99/00,Arsenal FC,1999-10-02,1999-10-04,6,1,3,13,9,6
99/00,Everton FC,1999-10-02,1999-10-04,5,2,3,16,10,7
99/00,Leicester City,1999-10-02,1999-10-04,5,2,3,17,13,8
99/00,Aston Villa,1999-10-02,1999-10-04,5,2,3,11,9,9
99/00,Tottenham Hotspur,1999-10-02,1999-10-04,4,2,4,16,15,10
99/00,Liverpool FC,1999-10-02,1999-10-04,4,2,4,11,10,11
99/00,Middlesbrough FC,1999-10-02,1999-10-04,4,0,6,11,15,12
99/00,Southampton FC,1999-10-02,1999-10-04,3,2,5,16,21,13
99/00,Coventry City,1999-10-02,1999-10-04,2,3,5,12,14,14
99/00,Watford FC,1999-10-02,1999-10-04,3,0,7,6,11,15
99/00,Derby County,1999-10-02,1999-10-04,2,3,5,10,18,16
99/00,Bradford City,1999-10-02,1999-10-04,2,3,5,5,14,17
99/00,Wimbledon FC,1999-10-02,1999-10-04,1,5,4,14,23,18
99/00,Newcastle United,1999-10-02,1999-10-04,2,1,7,20,23,19
99/00,Sheffield Wednesday,1999-10-02,1999-10-04,1,1,8,8,25,20
99/00,Leeds United,1999-10-16,1999-10-18,8,1,2,21,12,1
99/00,Manchester United,1999-10-16,1999-10-18,7,3,1,27,16,2
99/00,Chelsea FC,1999-10-16,1999-10-18,7,2,2,17,5,3
99/00,Sunderland AFC,1999-10-16,1999-10-18,7,2,2,20,9,4
99/00,Arsenal FC,1999-10-16,1999-10-18,7,1,3,17,10,5
99/00,Leicester City,1999-10-16,1999-10-18,6,2,3,19,14,6
99/00,West Ham United,1999-10-16,1999-10-18,6,1,4,13,9,7
99/00,Everton FC,1999-10-16,1999-10-18,5,2,4,17,14,8
99/00,Tottenham Hotspur,1999-10-16,1999-10-18,5,2,4,17,15,9
99/00,Liverpool FC,1999-10-16,1999-10-18,5,2,4,12,10,10
99/00,Aston Villa,1999-10-16,1999-10-18,5,2,4,12,11,11
99/00,Middlesbrough FC,1999-10-16,1999-10-18,5,0,6,13,15,12
99/00,Coventry City,1999-10-16,1999-10-18,3,3,5,16,15,13
99/00,Southampton FC,1999-10-16,1999-10-18,3,2,6,17,23,14
99/00,Wimbledon FC,1999-10-16,1999-10-18,2,5,4,17,25,15
99/00,Watford FC,1999-10-16,1999-10-18,3,0,8,7,15,16
99/00,Derby County,1999-10-16,1999-10-18,2,3,6,10,19,17
99/00,Bradford City,1999-10-16,1999-10-18,2,3,6,7,17,18
99/00,Newcastle United,1999-10-16,1999-10-18,2,1,8,21,27,19
99/00,Sheffield Wednesday,1999-10-16,1999-10-18,1,1,9,8,27,20
99/00,Leeds United,1999-10-23,1999-10-25,8,2,2,25,16,1
99/00,Arsenal FC,1999-10-23,1999-10-25,8,1,3,20,12,2
99/00,Sunderland AFC,1999-10-23,1999-10-25,7,3,2,21,10,3
99/00,Manchester United,1999-10-23,1999-10-25,7,3,2,28,19,4
99/00,Chelsea FC,1999-10-23,1999-10-25,7,2,3,19,8,5
99/00,Tottenham Hotspur,1999-10-23,1999-10-25,6,2,4,20,16,6
99/00,West Ham United,1999-10-23,1999-10-25,6,2,4,14,10,7
99/00,Leicester City,1999-10-23,1999-10-25,6,2,4,20,17,8
99/00,Everton FC,1999-10-23,1999-10-25,5,3,4,21,18,9
99/00,Liverpool FC,1999-10-23,1999-10-25,5,3,4,13,11,10
99/00,Aston Villa,1999-10-23,1999-10-25,5,3,4,13,12,11
99/00,Middlesbrough FC,1999-10-23,1999-10-25,6,0,6,16,16,12
99/00,Coventry City,1999-10-23,1999-10-25,3,4,5,16,15,13
99/00,Southampton FC,1999-10-23,1999-10-25,3,3,6,18,24,14
99/00,Wimbledon FC,1999-10-23,1999-10-25,2,6,4,18,26,15
99/00,Bradford City,1999-10-23,1999-10-25,3,3,6,10,18,16
99/00,Newcastle United,1999-10-23,1999-10-25,3,1,8,23,27,17
99/00,Watford FC,1999-10-23,1999-10-25,3,0,9,8,18,18
99/00,Derby County,1999-10-23,1999-10-25,2,3,7,10,21,19
99/00,Sheffield Wednesday,1999-10-23,1999-10-25,1,2,9,8,27,20
99/00,Leeds United,1999-10-30,1999-11-01,9,2,2,26,16,1
99/00,Manchester United,1999-10-30,1999-11-01,8,3,2,31,19,2
99/00,Sunderland AFC,1999-10-30,1999-11-01,8,3,2,23,11,3
99/00,Arsenal FC,1999-10-30,1999-11-01,8,2,3,20,12,4
99/00,Chelsea FC,1999-10-30,1999-11-01,7,2,4,20,11,5
99/00,Leicester City,1999-10-30,1999-11-01,7,2,4,23,17,6
99/00,Liverpool FC,1999-10-30,1999-11-01,6,3,4,16,12,7
99/00,Middlesbrough FC,1999-10-30,1999-11-01,7,0,6,18,17,8
99/00,Tottenham Hotspur,1999-10-30,1999-11-01,6,2,5,21,18,9
99/00,West Ham United,1999-10-30,1999-11-01,6,2,5,14,11,10
99/00,Everton FC,1999-10-30,1999-11-01,5,3,5,22,20,11
99/00,Aston Villa,1999-10-30,1999-11-01,5,3,5,13,15,12
99/00,Coventry City,1999-10-30,1999-11-01,4,4,5,20,15,13
99/00,Southampton FC,1999-10-30,1999-11-01,3,4,6,19,25,14
99/00,Wimbledon FC,1999-10-30,1999-11-01,2,7,4,19,27,15
99/00,Derby County,1999-10-30,1999-11-01,3,3,7,13,22,16
99/00,Bradford City,1999-10-30,1999-11-01,3,3,7,11,21,17
99/00,Newcastle United,1999-10-30,1999-11-01,3,2,8,23,27,18
99/00,Watford FC,1999-10-30,1999-11-01,3,0,10,8,22,19
99/00,Sheffield Wednesday,1999-10-30,1999-11-01,1,2,10,8,30,20
99/00,Manchester United,1999-11-06,1999-11-07,9,3,2,33,19,1
99/00,Leeds United,1999-11-06,1999-11-07,9,2,3,26,18,2
99/00,Sunderland AFC,1999-11-06,1999-11-07,8,4,2,24,12,3
99/00,Arsenal FC,1999-11-06,1999-11-07,8,2,4,21,14,4
99/00,Chelsea FC,1999-11-06,1999-11-07,7,3,4,20,11,5
99/00,Liverpool FC,1999-11-06,1999-11-07,7,3,4,18,12,6
99/00,Leicester City,1999-11-06,1999-11-07,7,2,5,23,19,7
99/00,Tottenham Hotspur,1999-11-06,1999-11-07,7,2,5,23,19,7
99/00,Middlesbrough FC,1999-11-06,1999-11-07,7,1,6,19,18,9
99/00,West Ham United,1999-11-06,1999-11-07,6,3,5,14,11,10
99/00,Everton FC,1999-11-06,1999-11-07,5,4,5,23,21,11
99/00,Aston Villa,1999-11-06,1999-11-07,5,3,6,13,16,12
99/00,Coventry City,1999-11-06,1999-11-07,4,5,5,21,16,13
99/00,Southampton FC,1999-11-06,1999-11-07,4,4,6,20,25,14
99/00,Wimbledon FC,1999-11-06,1999-11-07,3,7,4,21,27,15
99/00,Bradford City,1999-11-06,1999-11-07,3,4,7,12,22,16
99/00,Newcastle United,1999-11-06,1999-11-07,3,3,8,24,28,17
99/00,Derby County,1999-11-06,1999-11-07,3,3,8,13,24,18
99/00,Watford FC,1999-11-06,1999-11-07,3,1,10,10,24,19
99/00,Sheffield Wednesday,1999-11-06,1999-11-07,1,3,10,10,32,20
99/00,Manchester United,1999-11-20,1999-11-22,10,3,2,35,20,1
99/00,Leeds United,1999-11-20,1999-11-22,10,2,3,28,19,2
99/00,Arsenal FC,1999-11-20,1999-11-22,9,2,4,26,15,3
99/00,Sunderland AFC,1999-11-20,1999-11-22,8,4,3,24,14,4
99/00,Liverpool FC,1999-11-20,1999-11-22,8,3,4,20,12,5
99/00,Leicester City,1999-11-20,1999-11-22,8,2,5,25,20,6
99/00,Tottenham Hotspur,1999-11-20,1999-11-22,8,2,5,24,19,7
99/00,Chelsea FC,1999-11-20,1999-11-22,7,4,4,21,12,8
99/00,West Ham United,1999-11-20,1999-11-22,7,3,5,18,14,9
99/00,Middlesbrough FC,1999-11-20,1999-11-22,7,1,7,20,23,10
99/00,Coventry City,1999-11-20,1999-11-22,5,5,5,23,17,11
99/00,Everton FC,1999-11-20,1999-11-22,5,5,5,24,22,12
99/00,Aston Villa,1999-11-20,1999-11-22,5,3,7,14,18,13
99/00,Southampton FC,1999-11-20,1999-11-22,4,4,7,20,26,14
99/00,Wimbledon FC,1999-11-20,1999-11-22,3,7,5,22,29,15
99/00,Newcastle United,1999-11-20,1999-11-22,3,4,8,25,29,16
99/00,Bradford City,1999-11-20,1999-11-22,3,4,8,13,24,17
99/00,Derby County,1999-11-20,1999-11-22,3,3,9,14,26,18
99/00,Watford FC,1999-11-20,1999-11-22,3,2,10,11,25,19
99/00,Sheffield Wednesday,1999-11-20,1999-11-22,1,3,11,13,36,20
99/00,Manchester United,1999-11-27,2000-02-02,11,3,2,36,20,1
99/00,Leeds United,1999-11-27,2000-02-02,11,2,3,29,19,2
99/00,Arsenal FC,1999-11-27,2000-02-02,10,2,4,28,16,3
99/00,Sunderland AFC,1999-11-27,2000-02-02,9,4,3,27,16,4
99/00,Leicester City,1999-11-27,2000-02-02,9,2,5,26,20,5
99/00,Chelsea FC,1999-11-27,2000-02-02,8,4,4,22,12,6
99/00,Liverpool FC,1999-11-27,2000-02-02,8,3,5,20,13,7
99/00,West Ham United,1999-11-27,2000-02-02,8,3,5,19,14,8
99/00,Tottenham Hotspur,1999-11-27,2000-02-02,8,2,6,25,21,9
99/00,Middlesbrough FC,1999-11-27,2000-02-02,7,2,7,20,23,10
99/00,Everton FC,1999-11-27,2000-02-02,5,6,5,24,22,11
99/00,Coventry City,1999-11-27,2000-02-02,5,5,6,23,18,12
99/00,Aston Villa,1999-11-27,2000-02-02,5,4,7,14,18,13
99/00,Wimbledon FC,1999-11-27,2000-02-02,3,8,5,22,29,14
99/00,Newcastle United,1999-11-27,2000-02-02,4,4,8,27,30,15
99/00,Southampton FC,1999-11-27,2000-02-02,4,4,8,20,27,16
99/00,Bradford City,1999-11-27,2000-02-02,3,4,9,13,25,17
99/00,Derby County,1999-11-27,2000-02-02,3,3,10,15,28,18
99/00,Watford FC,1999-11-27,2000-02-02,3,2,11,13,28,19
99/00,Sheffield Wednesday,1999-11-27,2000-02-02,1,3,12,13,37,20
99/00,Manchester United,1999-12-04,1999-12-06,12,3,2,41,21,1
99/00,Leeds United,1999-12-04,1999-12-06,12,2,3,30,19,2
99/00,Arsenal FC,1999-12-04,1999-12-06,11,2,4,31,16,3
99/00,Sunderland AFC,1999-12-04,1999-12-06,10,4,3,31,17,4
99/00,Liverpool FC,1999-12-04,1999-12-06,9,3,5,24,14,5
99/00,Leicester City,1999-12-04,1999-12-06,9,2,6,26,23,6
99/00,Chelsea FC,1999-12-04,1999-12-06,8,4,5,23,16,7
99/00,West Ham United,1999-12-04,1999-12-06,8,4,5,19,14,8
99/00,Tottenham Hotspur,1999-12-04,1999-12-06,8,3,6,25,21,9
99/00,Middlesbrough FC,1999-12-04,1999-12-06,7,3,7,21,24,10
99/00,Coventry City,1999-12-04,1999-12-06,5,6,6,23,18,11
99/00,Everton FC,1999-12-04,1999-12-06,5,6,6,25,27,12
99/00,Wimbledon FC,1999-12-04,1999-12-06,4,8,5,27,29,13
99/00,Newcastle United,1999-12-04,1999-12-06,5,4,8,28,30,14
99/00,Aston Villa,1999-12-04,1999-12-06,5,4,8,14,19,15
99/00,Southampton FC,1999-12-04,1999-12-06,4,5,8,20,27,16
99/00,Bradford City,1999-12-04,1999-12-06,3,5,9,14,26,17
99/00,Derby County,1999-12-04,1999-12-06,3,3,11,15,29,18
99/00,Watford FC,1999-12-04,1999-12-06,3,2,12,13,33,19
99/00,Sheffield Wednesday,1999-12-04,1999-12-06,1,3,13,14,41,20
99/00,Manchester United,1999-12-18,1999-12-19,13,3,2,45,23,1
99/00,Leeds United,1999-12-18,1999-12-19,13,2,3,32,19,2
99/00,Sunderland AFC,1999-12-18,1999-12-19,11,4,3,33,17,3
99/00,Arsenal FC,1999-12-18,1999-12-19,11,3,4,32,17,4
99/00,Liverpool FC,1999-12-18,1999-12-19,10,3,5,26,14,5
99/00,Leicester City,1999-12-18,1999-12-19,9,2,7,26,24,6
99/00,Chelsea FC,1999-12-18,1999-12-19,8,4,6,23,18,7
99/00,West Ham United,1999-12-18,1999-12-19,8,4,6,21,18,8
99/00,Tottenham Hotspur,1999-12-18,1999-12-19,8,3,7,26,23,9
99/00,Middlesbrough FC,1999-12-18,1999-12-19,8,3,7,23,25,10
99/00,Everton FC,1999-12-18,1999-12-19,6,6,6,28,28,11
99/00,Aston Villa,1999-12-18,1999-12-19,6,4,8,16,20,12
99/00,Coventry City,1999-12-18,1999-12-19,5,6,7,23,20,13
99/00,Wimbledon FC,1999-12-18,1999-12-19,4,9,5,28,30,14
99/00,Newcastle United,1999-12-18,1999-12-19,5,4,9,28,32,15
99/00,Southampton FC,1999-12-18,1999-12-19,4,5,9,20,29,16
99/00,Bradford City,1999-12-18,1999-12-19,4,5,9,16,26,17
99/00,Derby County,1999-12-18,1999-12-19,4,3,11,16,29,18
99/00,Watford FC,1999-12-18,1999-12-19,3,2,13,14,36,19
99/00,Sheffield Wednesday,1999-12-18,1999-12-19,1,3,14,15,43,20
99/00,Manchester United,1999-12-26,1999-12-26,14,3,2,49,23,1
99/00,Leeds United,1999-12-26,1999-12-26,14,2,3,34,20,2
99/00,Sunderland AFC,1999-12-26,1999-12-26,11,4,4,33,22,3
99/00,Arsenal FC,1999-12-26,1999-12-26,11,3,5,34,20,4
99/00,Liverpool FC,1999-12-26,1999-12-26,10,4,5,28,16,5
99/00,Chelsea FC,1999-12-26,1999-12-26,9,4,6,25,19,6
99/00,Tottenham Hotspur,1999-12-26,1999-12-26,9,3,7,30,23,7
99/00,West Ham United,1999-12-26,1999-12-26,8,5,6,23,20,8
99/00,Leicester City,1999-12-26,1999-12-26,9,2,8,27,26,9
99/00,Everton FC,1999-12-26,1999-12-26,7,6,6,33,28,10
99/00,Middlesbrough FC,1999-12-26,1999-12-26,8,3,8,23,26,11
99/00,Aston Villa,1999-12-26,1999-12-26,7,4,8,18,20,12
